bin_idx,time,id,satellite,network,band,elevation,azimuth,snr
0,1740,30009,9,2,false,18,53,42
0,1740,30005,5,2,false,12,120,29
0,1740,30020,20,2,false,12,126,21
0,1740,31020,20,2,true,12,126,43
0,1747,30009,9,2,false,18,53,41
0,1747,30020,20,2,false,12,126,28
0,1747,30005,5,2,false,12,120,30
0,1747,31020,20,2,true,12,126,43
0,1748,30009,9,2,false,18,53,41
0,1748,30020,20,2,false,12,126,29
0,1748,30005,5,2,false,12,120,30
0,1748,31020,20,2,true,12,126,43
0,1749,30009,9,2,false,18,53,41
0,1749,30020,20,2,false,12,126,35
0,1749,30005,5,2,false,12,120,30
0,1749,31020,20,2,true,12,126,43
0,1750,30009,9,2,false,18,53,42
0,1750,30020,20,2,false,12,126,21
0,1750,30005,5,2,false,12,120,31
0,1750,31020,20,2,true,12,126,43
0,1751,30009,9,2,false,18,53,42
0,1751,30020,20,2,false,12,126,23
0,1751,30005,5,2,false,12,120,32
0,1751,31020,20,2,true,12,126,43
0,1752,30009,9,2,false,18,53,42
0,1752,30005,5,2,false,12,120,32
0,1752,30020,20,2,false,12,126,23
0,1752,31020,20,2,true,12,126,43
0,1753,30009,9,2,false,18,53,42
0,1753,30005,5,2,false,12,120,32
0,1753,30020,20,2,false,12,126,24
0,1753,31020,20,2,true,12,126,43
0,1754,30009,9,2,false,18,53,41
0,1754,30005,5,2,false,12,120,33
0,1754,30020,20,2,false,12,126,26
0,1754,31020,20,2,true,12,126,43
0,1755,30009,9,2,false,18,53,41
0,1755,30005,5,2,false,12,120,33
0,1755,30020,20,2,false,12,126,27
0,1755,31020,20,2,true,12,126,43
0,1756,30009,9,2,false,18,53,40
0,1756,30005,5,2,false,12,120,32
0,1756,30020,20,2,false,12,126,26
0,1756,31020,20,2,true,12,126,43
0,1757,30009,9,2,false,18,53,40
0,1757,30005,5,2,false,12,120,31
0,1757,30020,20,2,false,12,126,28
0,1757,31020,20,2,true,12,126,43
0,1758,30009,9,2,false,18,53,40
0,1758,30005,5,2,false,12,120,30
0,1758,30020,20,2,false,12,126,27
0,1758,31020,20,2,true,12,126,43
0,1759,30009,9,2,false,18,53,40
0,1759,30005,5,2,false,12,120,31
0,1759,30020,20,2,false,12,126,28
0,1759,31020,20,2,true,12,126,43
0,1760,30009,9,2,false,18,53,38
0,1760,30005,5,2,false,12,120,22
0,1760,30020,20,2,false,11,127,29
0,1760,31020,20,2,true,11,127,43
0,1761,30009,9,2,false,18,53,38
0,1761,30005,5,2,false,12,120,33
0,1761,30020,20,2,false,11,127,31
0,1761,31020,20,2,true,11,127,43
0,1762,30009,9,2,false,18,53,38
0,1762,30005,5,2,false,12,120,32
0,1762,30020,20,2,false,11,127,29
0,1762,31020,20,2,true,11,127,43
0,1763,30009,9,2,false,18,53,38
0,1763,30005,5,2,false,12,120,30
0,1763,30020,20,2,false,11,127,29
0,1763,31020,20,2,true,11,127,43
0,1764,30009,9,2,false,18,53,38
0,1764,30005,5,2,false,12,120,28
0,1764,30020,20,2,false,11,127,22
0,1764,31020,20,2,true,11,127,43
0,1765,30009,9,2,false,18,53,38
0,1765,30005,5,2,false,12,120,27
0,1765,30020,20,2,false,11,127,32
0,1765,31020,20,2,true,11,127,43
0,1766,30009,9,2,false,18,53,38
0,1766,30005,5,2,false,12,120,26
0,1766,30020,20,2,false,11,127,25
0,1766,31020,20,2,true,11,127,43
0,1767,30009,9,2,false,18,53,38
0,1767,30020,20,2,false,11,127,27
0,1767,31020,20,2,true,11,127,43
0,1768,30009,9,2,false,18,53,39
0,1768,30020,20,2,false,11,127,26
0,1768,31020,20,2,true,11,127,43
0,1769,30009,9,2,false,18,53,39
0,1769,30020,20,2,false,11,127,26
0,1769,31020,20,2,true,11,127,43
0,1770,30009,9,2,false,18,53,39
0,1770,30005,5,2,false,12,120,28
0,1770,30020,20,2,false,11,127,25
0,1770,31020,20,2,true,11,127,43
0,1771,30009,9,2,false,18,53,39
0,1771,30005,5,2,false,12,120,28
0,1771,30020,20,2,false,11,127,26
0,1771,31020,20,2,true,11,127,43
0,1772,30009,9,2,false,18,53,39
0,1772,30005,5,2,false,12,120,22
0,1772,30020,20,2,false,11,127,28
0,1772,31020,20,2,true,11,127,43
0,1773,30009,9,2,false,18,53,39
0,1773,30020,20,2,false,11,127,29
0,1773,31020,20,2,true,11,127,43
0,1774,30009,9,2,false,18,53,39
0,1774,30005,5,2,false,12,120,24
0,1774,30020,20,2,false,11,127,30
0,1774,31020,20,2,true,11,127,42
0,1775,30009,9,2,false,18,53,40
0,1775,30005,5,2,false,12,120,29
0,1775,30020,20,2,false,11,127,29
0,1775,31020,20,2,true,11,127,42
0,1776,30009,9,2,false,18,53,39
0,1776,30005,5,2,false,12,120,24
0,1776,30020,20,2,false,11,127,28
0,1776,31020,20,2,true,11,127,42
0,1777,30009,9,2,false,18,53,39
0,1777,30005,5,2,false,12,120,22
0,1777,30020,20,2,false,11,127,28
0,1777,31020,20,2,true,11,127,42
0,1778,30009,9,2,false,18,53,39
0,1778,30020,20,2,false,11,127,30
0,1778,31020,20,2,true,11,127,41
0,1779,30009,9,2,false,18,53,39
0,1779,30020,20,2,false,11,127,32
0,1779,31020,20,2,true,11,127,41
0,1780,30009,9,2,false,18,53,39
0,1780,30020,20,2,false,11,127,31
0,1780,31020,20,2,true,11,127,40
0,1781,30009,9,2,false,18,53,39
0,1781,30020,20,2,false,11,127,32
0,1781,31020,20,2,true,11,127,40
0,1782,30009,9,2,false,18,53,38
0,1782,30020,20,2,false,11,127,33
0,1782,31020,20,2,true,11,127,40
0,1783,30009,9,2,false,18,53,37
0,1783,30020,20,2,false,11,127,25
0,1783,31020,20,2,true,11,127,39
0,1784,30009,9,2,false,18,53,37
0,1784,30020,20,2,false,11,127,27
0,1784,31020,20,2,true,11,127,39
0,1785,30009,9,2,false,18,53,35
0,1785,30020,20,2,false,11,127,26
0,1785,31020,20,2,true,11,127,39
0,1786,30009,9,2,false,18,53,35
0,1786,30020,20,2,false,11,127,27
0,1786,31020,20,2,true,11,127,39
0,1787,30009,9,2,false,18,53,36
0,1787,30020,20,2,false,11,127,34
0,1787,31020,20,2,true,11,127,39
0,1788,30009,9,2,false,18,53,37
0,1788,30020,20,2,false,11,127,33
