satellite,elevation,azimuth,snr,time,network,band
9,15.0,95.0,48.0,45602,GPS,L1
9,15.0,95.0,51.0,45602,GPS,L5
6,17.0,88.0,35.0,45602,Galileo,L5
23,11.0,26.0,44.0,45602,Galileo,L5
6,17.0,88.0,51.0,45602,Galileo,L1
23,11.0,26.0,51.0,45602,Galileo,L1
37,22.0,46.0,49.0,45602,BeiDou,L1
9,21.0,51.0,45.0,45602,BeiDou,L1
6,8.0,49.0,42.0,45602,BeiDou,L1
37,22.0,46.0,51.0,45602,BeiDou,L5
9,15.0,95.0,47.0,45603,GPS,L1
9,15.0,95.0,51.0,45603,GPS,L5
6,17.0,88.0,35.0,45603,Galileo,L5
23,11.0,26.0,44.0,45603,Galileo,L5
6,17.0,88.0,51.0,45603,Galileo,L1
23,11.0,26.0,51.0,45603,Galileo,L1
37,22.0,46.0,49.0,45603,BeiDou,L1
9,21.0,51.0,45.0,45603,BeiDou,L1
6,8.0,49.0,42.0,45603,BeiDou,L1
37,22.0,46.0,51.0,45603,BeiDou,L5
9,15.0,95.0,47.0,45604,GPS,L1
9,15.0,95.0,51.0,45604,GPS,L5
23,11.0,26.0,44.0,45604,Galileo,L5
6,17.0,88.0,35.0,45604,Galileo,L5
6,17.0,88.0,51.0,45604,Galileo,L1
23,11.0,26.0,51.0,45604,Galileo,L1
37,22.0,46.0,49.0,45604,BeiDou,L1
9,21.0,51.0,44.0,45604,BeiDou,L1
6,8.0,49.0,41.0,45604,BeiDou,L1
37,22.0,46.0,51.0,45604,BeiDou,L5
9,15.0,95.0,47.0,45605,GPS,L1
9,15.0,95.0,51.0,45605,GPS,L5
23,11.0,26.0,44.0,45605,Galileo,L5
6,17.0,88.0,35.0,45605,Galileo,L5
6,17.0,88.0,51.0,45605,Galileo,L1
23,11.0,26.0,51.0,45605,Galileo,L1
37,22.0,46.0,50.0,45605,BeiDou,L1
9,21.0,51.0,45.0,45605,BeiDou,L1
6,8.0,49.0,41.0,45605,BeiDou,L1
37,22.0,46.0,51.0,45605,BeiDou,L5
9,15.0,95.0,47.0,45606,GPS,L1
9,15.0,95.0,50.0,45606,GPS,L5
6,17.0,88.0,35.0,45606,Galileo,L5
23,11.0,26.0,44.0,45606,Galileo,L5
6,17.0,88.0,51.0,45606,Galileo,L1
23,11.0,26.0,51.0,45606,Galileo,L1
37,22.0,46.0,50.0,45606,BeiDou,L1
9,21.0,51.0,45.0,45606,BeiDou,L1
6,8.0,49.0,41.0,45606,BeiDou,L1
37,22.0,46.0,51.0,45606,BeiDou,L5
9,15.0,95.0,47.0,45607,GPS,L1
9,15.0,95.0,50.0,45607,GPS,L5
6,17.0,88.0,36.0,45607,Galileo,L5
23,11.0,26.0,44.0,45607,Galileo,L5
6,17.0,88.0,51.0,45607,Galileo,L1
23,11.0,26.0,51.0,45607,Galileo,L1
37,22.0,46.0,50.0,45607,BeiDou,L1
9,21.0,51.0,45.0,45607,BeiDou,L1
6,8.0,49.0,41.0,45607,BeiDou,L1
37,22.0,46.0,51.0,45607,BeiDou,L5
9,15.0,95.0,47.0,45608,GPS,L1
9,15.0,95.0,50.0,45608,GPS,L5
6,17.0,88.0,36.0,45608,Galileo,L5
23,11.0,26.0,45.0,45608,Galileo,L5
6,17.0,88.0,51.0,45608,Galileo,L1
23,11.0,26.0,51.0,45608,Galileo,L1
